"political_party","election_date","election_result",1,2,3,4,5,6,7,8,9,10,11,12
"krestanska_unia","2023-09-30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"spolu","2023-09-30",0.0,0.0,0.0,0.0,1.0,0.7,0.7,1.0,0.8,0.7,1.0,1.0,1.1
"nova_vacsina","2023-09-30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mks","2023-09-30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"narodna_revolucia","2023-09-30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"priemyselna_revolucia","2023-09-30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"madarska_aliancia","2023-09-30",4.38,4.3,4.7,4.5,4.4,5.6,4.6,4.1,4.6,4.4,4.4,4.4,5.2
"smer_sd","2020-02-29",18.29,17.0,18.7,19.6,20.0,22.0,21.7,20.8,19.7,19.7,19.0,22.4,21.2
"sdku_ds","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.2
"sas","2020-02-29",6.22,5.3,5.4,5.7,5.0,5.2,6.4,7.9,8.0,8.0,10.1,11.4,11.2
"ds","2020-02-29",0.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.1
"sho","2020-02-29",0.06,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"socialisti","2020-02-29",0.55,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"starostovia_a_nezavisli_kandidati","2020-02-29",0.07,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mame_toho_dost","2020-02-29",0.32,0.1,0.5,0.8,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"solidarita","2020-02-29",0.11,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"99_obciansky_hlas","2020-02-29",0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"slovenska_liga","2020-02-29",0.02,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hlas_pravice","2020-02-29",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hlas_ludu","2020-02-29",0.28,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
